Name,Price,Category,Link,Image,Description
Impact Diet Whey,£10.99,Protein Blends & Formulas,https://www.myprotein.com/sports-nutrition/advanced-weight-gainer/10615587.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10615587-1604913048828742.jpg,"Nutritional information may vary depending on flavour. What is the Advanced Weight Gainer? Our Advanced Weight Gainer has been created specifically to support your bulk-up ambitions, with a huge 35g of protein per serving — perfect for building and maintaining muscle.1 The Advanced Weight Gainer also boasts a staggering 62g of carbs in every serving, giving you an excellent source of energy for your training, as well as supporting your post-workout recovery.2 This all-in-one protein shake features additional ingredients to help fuel your training — including vitamins, minerals, and amino acids. Our Advanced Weight Gainer also contains creatine monohydrate, which is proven to increased physical performance,3 so that you can push for progress in each and every session."
THE Whey™,£46.99,Protein Blends & Formulas,https://www.myprotein.com/sports-nutrition/impact-weight-gainer/10529988.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10529988-1034951863070437.jpg,"Nutritional information may vary depending on flavour. What is a weight gainer? If you’re looking to gain weight, build strength, or increase size then you’re going to have to consume more calories than you burn throughout the day — known as a calorie surplus. And, although that sounds really simple, eating the wrong types of foods can lead to an increase in body fat, which isn’t ideal. To gain muscle you must combine a calorie surplus, with high-quality protein sources — which contribute to the growth and maintenance of muscle mass1 — and a well thought-out strength training plan. We know that getting your nutrition right, when leading an active lifestyle, can be difficult — and that’s where we come in. Our weight-gainer supplements combine high-quality ingredients with ultimate convenience, delivering the fuel you need, wherever you are. What is Impact Weight Gainer? This beast of a supplement boasts 31g of protein, a staggering 50g of carbs, and a massive total of 388 calories per serving, setting you up to achieve those all-important gains1 — all while boosting your recovery2 after those high-intensity workouts. Want more information on protein powder, its benefits, and guidance on which one's best for you? Check out our Protein Guide."
Protein Pancake Mix,£7.99,Protein Blends & Formulas,https://www.myprotein.com/sports-nutrition/impact-weight-gainer/10529988.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10529988-1034951863070437.jpg,"Nutritional information may vary depending on flavour. What is a weight gainer? If you’re looking to gain weight, build strength, or increase size then you’re going to have to consume more calories than you burn throughout the day — known as a calorie surplus. And, although that sounds really simple, eating the wrong types of foods can lead to an increase in body fat, which isn’t ideal. To gain muscle you must combine a calorie surplus, with high-quality protein sources — which contribute to the growth and maintenance of muscle mass1 — and a well thought-out strength training plan. We know that getting your nutrition right, when leading an active lifestyle, can be difficult — and that’s where we come in. Our weight-gainer supplements combine high-quality ingredients with ultimate convenience, delivering the fuel you need, wherever you are. What is Impact Weight Gainer? This beast of a supplement boasts 31g of protein, a staggering 50g of carbs, and a massive total of 388 calories per serving, setting you up to achieve those all-important gains1 — all while boosting your recovery2 after those high-intensity workouts. Want more information on protein powder, its benefits, and guidance on which one's best for you? Check out our Protein Guide."
Vegan Protein Blend,£9.99,Protein Blends & Formulas,https://www.myprotein.com/sports-nutrition/impact-diet-whey/10530657.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10530657-1444924184327073.jpg,"Nutritional information may vary depending on flavour. A delicious shake that delivers 39g of protein per serving, along with other ingredients specifically chosen to support your weight-loss programme. What is Impact Diet Whey Protein? Impact Diet Whey is a whey protein powder that has been specially developed to provide a boost of protein without unnecessary carbs.   We’ve also added a range of specific ingredients to support your dietary plan. What’s more, this protein shake is also great for vegetarians, so you can enjoy the benefits of Impact Diet Whey whatever your lifestyle. What does Impact Diet Whey do? Impact Diet Whey is an excellent source of protein to be consumed as part of a healthy and active lifestyle during your weight loss journey. Want more information on protein powder, its benefits, and guidance on which one's best for you? Check out our Protein Guide."
Total Protein Blend,£34.99,Protein Blends & Formulas,https://www.myprotein.com/sports-nutrition/impact-diet-whey/10530657.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/10530657-1444924184327073.jpg,"Nutritional information may vary depending on flavour. A delicious shake that delivers 39g of protein per serving, along with other ingredients specifically chosen to support your weight-loss programme. What is Impact Diet Whey Protein? Impact Diet Whey is a whey protein powder that has been specially developed to provide a boost of protein without unnecessary carbs.   We’ve also added a range of specific ingredients to support your dietary plan. What’s more, this protein shake is also great for vegetarians, so you can enjoy the benefits of Impact Diet Whey whatever your lifestyle. What does Impact Diet Whey do? Impact Diet Whey is an excellent source of protein to be consumed as part of a healthy and active lifestyle during your weight loss journey. Want more information on protein powder, its benefits, and guidance on which one's best for you? Check out our Protein Guide."
Advanced Recovery Blend,£24.99,Protein Blends & Formulas,https://www.myprotein.com/sports-nutrition/the-whey/11353515.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/12968604-2055002146053883.jpg,"Nutritional information may vary depending on flavour. What is THE Whey™? THE Whey™ is our premium protein blend, boasting 25g of protein, 3g of leucine, and over 5g of naturally-occurring glutamine in every serving. This protein blend contains less than 2g of carbohydrates* and under 1g of fat* — making it the ideal fuel for your workouts without derailing your diet. THE Whey™ has been created using expert filtration systems and the finest ingredients, designed to provide the fuel your muscles need to grow.1 Discover more from the Myprotein Pro range for the absolute best in sports nutrition.   Want more information on protein powder, its benefits, and guidance on which one's best for you? Check out our Protein Guide."
Milk Protein Powder,£76.99,Protein Blends & Formulas,https://www.myprotein.com/sports-nutrition/the-whey/11353515.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/12968604-2055002146053883.jpg,"Nutritional information may vary depending on flavour. What is THE Whey™? THE Whey™ is our premium protein blend, boasting 25g of protein, 3g of leucine, and over 5g of naturally-occurring glutamine in every serving. This protein blend contains less than 2g of carbohydrates* and under 1g of fat* — making it the ideal fuel for your workouts without derailing your diet. THE Whey™ has been created using expert filtration systems and the finest ingredients, designed to provide the fuel your muscles need to grow.1 Discover more from the Myprotein Pro range for the absolute best in sports nutrition.   Want more information on protein powder, its benefits, and guidance on which one's best for you? Check out our Protein Guide."
Overnight Recovery Blend,£19.99,Protein Blends & Formulas,https://www.myprotein.com/sports-nutrition/protein-pancake-mix/10867261.html,https://static.thcdn.com/images/small/webp/productimg/1600/1600/10867261-1604620653933544.jpg,"Nutritional information may vary depending on flavour. What is Protein Pancake Mix? With a blend of high-quality protein from milk, whey, and egg proteins, this pancake mix provides you with both fast- and slow-digesting nutrients — making it the perfect choice for a filling breakfast."
Impact Week Bundle,£31.98,New Products,https://www.myprotein.com/sports-nutrition/impact-week-bundle/14655907.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/14655911-2505049837014796.jpg,"Cola is just classic, isn’t it? And if cola bottle sweets are a bit of you, then you may want to check this out. Take your pick from our best-selling tubs — limited-edition Cola Bottle flavour — and grab yourself a shaker while you’re at it. Choose from:  Clear Whey Isolate (20 servings) Clear Vegan Protein (20 servings) Clear Collagen (30 servings)  Bundle will also include a Myprotein or Myvegan shaker."
Clear Collagen - Impact Week Cola Bottle flavour,£6.99,New Products,https://www.myprotein.com/sports-nutrition/impact-week-bundle/14655907.html,https://static.thcdn.com/images/large/webp//productimg/1600/1600/14655911-2505049837014796.jpg,"Cola is just classic, isn’t it? And if cola bottle sweets are a bit of you, then you may want to check this out. Take your pick from our best-selling tubs — limited-edition Cola Bottle flavour — and grab yourself a shaker while you’re at it. Choose from:  Clear Whey Isolate (20 servings) Clear Vegan Protein (20 servings) Clear Collagen (30 servings)  Bundle will also include a Myprotein or Myvegan shaker."
